Level,servedirection1wide.2t,serverdisttonetxatROS,shottoshottimeservetoROS,servefromlatROS,servermaxvelfromservetoROS,serverdistancefromservetoROS,SHOT_OUTCOME,@1deuce2adv,AUSTRALIANAJESUS,SAQUESERROROLET,GANAELPUNTO,RALLY,MATCH,SET,filter_$,tacticanivel,Juegos
Alto,Lateral,5.2439,1.12,3.5833,3.533,2.83,1.0,Deuce,Aus,0.0,,22.0,1.0,1.0,Not Selected,aus alto,3.0
Alto,Lateral,5.3255,1.28,3.1337,3.1694,3.2483,1.0,Deuce,Aus,0.0,,37.0,1.0,2.0,Not Selected,aus alto,5.0
Alto,Lateral,5.5047,1.16,,3.0379,2.9204,1.0,Deuce,Aus,0.0,Sacan,1.0,1.0,1.0,Not Selected,aus alto,1.0
Alto,Lateral,5.849,1.0,3.5574,3.1744,2.5028,1.0,Deuce,Aus,0.0,Sacan,4.0,1.0,1.0,Not Selected,aus alto,1.0
Alto,Lateral,5.6027000000000005,1.12,3.2141,3.0464,2.849,1.0,Deuce,Aus,0.0,Sacan,26.0,1.0,1.0,Not Selected,aus alto,4.0
Alto,Lateral,5.2342,1.48,3.4125,2.4721,2.9579,1.0,Deuce,Aus,0.0,Sacan,47.0,1.0,1.0,Not Selected,aus alto,6.0
Alto,Lateral,5.1111,1.28,3.1124,3.1198,3.2923,1.0,Deuce,Aus,0.0,Sacan,49.0,1.0,1.0,Not Selected,aus alto,7.0
Alto,Lateral,5.9489,0.92,3.8743,2.9171,2.2433,1.0,Deuce,Aus,0.0,Sacan,52.0,1.0,1.0,Not Selected,aus alto,7.0
Alto,Lateral,4.9529,1.28,3.1073,3.3365,3.5217,1.0,Deuce,Aus,0.0,Sacan,54.0,1.0,1.0,Not Selected,aus alto,7.0
Alto,Lateral,6.283999999999999,0.84,3.8888,3.0215,1.9425,1.0,Deuce,Aus,0.0,Sacan,56.0,1.0,1.0,Not Selected,aus alto,7.0
Alto,Lateral,5.5506,1.12,4.062,3.1482,2.5652,1.0,Deuce,Aus,0.0,Sacan,81.0,1.0,1.0,Not Selected,aus alto,11.0
Alto,Lateral,5.844900000000001,0.96,3.8174,2.9091,2.3088,1.0,Deuce,Aus,0.0,Sacan,84.0,1.0,1.0,Not Selected,aus alto,11.0
Alto,Lateral,5.1081,1.28,3.3351,3.2455,3.3605,1.0,Deuce,Aus,0.0,Sacan,9.0,1.0,2.0,Not Selected,aus alto,2.0
Alto,Lateral,5.5623,1.2,3.7261,3.1225,2.6331,1.0,Deuce,Aus,0.0,Sacan,17.0,1.0,2.0,Not Selected,aus alto,3.0
Alto,Lateral,5.600099999999999,1.12,3.3334,3.0821,2.8561,1.0,Deuce,Aus,0.0,Sacan,32.0,1.0,2.0,Not Selected,aus alto,4.0
Alto,Lateral,5.8522,1.0,3.6823,3.0213,2.3235,1.0,Deuce,Aus,0.0,Sacan,34.0,1.0,2.0,Not Selected,aus alto,5.0
Alto,Lateral,5.2364999999999995,1.32,3.1197,3.0821,3.3885,1.0,Deuce,Aus,0.0,Sacan,38.0,1.0,2.0,Not Selected,aus alto,5.0
Alto,Lateral,5.3736,1.12,3.847,3.4712,2.651,1.0,Deuce,Aus,0.0,Sacan,42.0,1.0,2.0,Not Selected,aus alto,6.0
Alto,Lateral,4.9535,1.32,3.7713,3.1986,3.1436,1.0,Deuce,Aus,0.0,Sacan,50.0,1.0,2.0,Not Selected,aus alto,7.0
Alto,Lateral,5.2554,1.12,3.6023,3.0635,2.6367,1.0,Deuce,Aus,0.0,Sacan,43.0,2.0,1.0,Not Selected,aus alto,6.0
Alto,Lateral,5.8777,0.96,3.992,2.8352,2.0202,1.0,Deuce,Aus,0.0,Sacan,5.0,2.0,2.0,Not Selected,aus alto,1.0
Alto,Lateral,6.085899999999999,1.0,3.5913,3.3603,2.5515,1.0,Deuce,Aus,0.0,Sacan,19.0,2.0,2.0,Not Selected,aus alto,3.0
Alto,Lateral,4.9931,1.4,3.1783,2.8085,3.1936,1.0,Deuce,Aus,0.0,Sacan,45.0,2.0,2.0,Not Selected,aus alto,6.0
Alto,Lateral,5.6492,1.2,3.8774,2.8154,2.5063,1.0,Deuce,Aus,0.0,Sacan,17.0,3.0,1.0,Not Selected,aus alto,3.0
Alto,Lateral,5.1797,1.36,3.5696,2.5727,2.9096,1.0,Deuce,Aus,0.0,Sacan,19.0,3.0,1.0,Not Selected,aus alto,3.0
Alto,Lateral,5.4827,1.28,3.6665,2.3736,2.5706,1.0,Deuce,Aus,0.0,Sacan,42.0,3.0,1.0,Not Selected,aus alto,6.0
Alto,Lateral,5.3863,1.24,3.8353,2.5185,2.5959,1.0,Deuce,Aus,0.0,Sacan,46.0,3.0,1.0,Not Selected,aus alto,6.0
Alto,Lateral,5.297,1.24,3.5446,2.5728,2.6736,1.0,Deuce,Aus,0.0,Sacan,16.0,3.0,2.0,Not Selected,aus alto,2.0
Alto,Lateral,4.967,1.4,3.2881,2.6599,3.0311,1.0,Deuce,Aus,0.0,Sacan,39.0,3.0,2.0,Not Selected,aus alto,5.0
Alto,Lateral,5.4897,1.32,3.5822,2.4319,2.6722,1.0,Deuce,Aus,0.0,Sacan,43.0,3.0,2.0,Not Selected,aus alto,6.0
Alto,Lateral,5.0518,1.04,3.3236,3.6066,3.0092,1.0,Deuce,Aus,0.0,Sacan,9.0,4.0,1.0,Not Selected,aus alto,2.0
Alto,Lateral,4.9669,1.08,3.402,3.4489,3.0726,1.0,Deuce,Aus,0.0,Sacan,13.0,4.0,1.0,Not Selected,aus alto,2.0
Alto,Lateral,5.696300000000001,1.28,2.6134,3.2931,3.0431,1.0,Deuce,Aus,0.0,Sacan,15.0,4.0,1.0,Not Selected,aus alto,2.0
Alto,Lateral,4.7235,1.2,3.3507,3.3007,3.2026,1.0,Deuce,Aus,0.0,Sacan,45.0,4.0,1.0,Not Selected,aus alto,6.0
Alto,Lateral,6.387799999999999,1.12,3.4092,2.8783,2.3407,1.0,Deuce,Aus,0.0,Sacan,52.0,4.0,1.0,Not Selected,aus alto,7.0
Alto,Lateral,5.544600000000001,1.24,3.0328,3.1863,2.9676,1.0,Deuce,Aus,0.0,Sacan,1.0,5.0,1.0,Not Selected,aus alto,1.0
